id,dataset,text,oracle,sentistrengthse,Error category
21605,github_test_2,"Please stop censoring my comments....""",-1,0,context
5306,OrtuJIRA_test_9,This is quality work.,1,0,context
5675,OrtuJIRA_test_9,Seems to work reliably now.,1,0,context
24517,github_test_6,"Ah! I was looking at the wrong place to fix this error!""",-1,0,context
13756,DatasetSenti4SDSO_test_8,I have added a reference to an excellent article showing to go about it.,0,1,context
1699,OrtuJIRA_test_2,The instructions are fine.,0,1,domain specific
12346,DatasetSenti4SDSO_test_5,Link is down again.,-1,0,domain specific
13574,DatasetSenti4SDSO_test_8,"I don't know why but I used the tags in my post. It is showing fine in preview, but not in final post?!",-1,1,domain specific
13780,DatasetSenti4SDSO_test_8,ROT13. It's super efficient too!,1,0,domain specific
13993,DatasetSenti4SDSO_test_9,"Why is this getting downvoted? He got the terms IDE and compiler mixed up, but it's still an excellent question. He wants to know if Sun makes an official IDE, like Microsoft does with their Express products.",-1,1,domain specific
20595,github_test_0,"Githubs eats my comments =(""",-1,0,domain specific
20687,github_test_0,"@mbax First you bring us to leave and now you try to stop us doing so? there's just one word for that: Fail!""",-1,0,domain specific
21089,github_test_1,"Confirm, this breaks compile. :[""",-1,0,domain specific
21108,github_test_1,"sql/updates/auth/2013_04_25_00_auth_misc.txt WTF!? Have you even read the commits that make?""",-1,0,domain specific
21170,github_test_1,"Java5? Eww imho :\ Legacy, I guess.""",-1,0,domain specific
21178,github_test_1,"i fails :[""",-1,0,domain specific
21537,github_test_2,"Jenkins and you are at war!""",-1,0,domain specific
22281,github_test_3,"Yeah, this was pretty much just getting rid of some postgres syntax errors""",-1,0,domain specific
22325,github_test_3,"don't pull.  master is broken!  will fix soon.""",-1,0,domain specific
22875,github_test_4,"I guess my comment was vague, I was sleepy. There seemed to be some compile, errors. I'm at work now I'll post them when I get back home.""",-1,0,domain specific
23604,github_test_5,"This sounds like a """"major"""" bug. Would you mind to fill a issue for it an close it ? So we have a better history of what bugs got fixed ?""",-1,0,domain specific
