id,text,oracle
6,But sadly this is not working.,-1
78,"So, everything builds fine, but when we try to deploy the application to GFNUMBER we get the FILE_NAME file not found ''error.",-1
90,That is what is causing your null pointer exception.,-1
139,"All attempts I've made were, in a shortcut, unsuccessful.",-1
162,Don't use.,-1
187,"However when I try to run FILE_NAME, it gives ``The system cant find the path specified error ''for the batch file.",-1
200,"Problem: without zooming, the added content doesn't get visible.",-1
201,"in a application you can workaround with scaling the window size, but in an applet I wasn't able to solve that problem.",-1
256,else your GUI will be Hanged.,-1
342,I am not sure about Map implementation in HazelCast.,-1
361,But the above code doesn't work outside the ``FILE_NAME JavaAgent`` FILE_NAME of the main Agent.,-1
436,"Please note there is a bug in FILE_NAME, L996 +997.",-1
444,I am not sure why I can not get it to work and have been struggling with it for a while.,-1
448,the problem is the following.,-1
491,"When I run my client, it throws the following exception.",-1
521,i did come across the same issue with Java API_NAME works in JDKNUMBER.,-1
526,I am unsure how to return an array that will avoid returning CODE_FRAGMENT as an element of that array.,-1
580,This is the first time I've encountered something like below.,-1
583,NOT WORKING: directly compiled the src on Unix machine and used FILE_NAME files.,-1
587,"For some mystic reason, the workflow is not enetering if ( )... Same exact code runs perfectly if I directly paste FILE_NAME files from Eclipse's bin folder.",-1
617,It might not reproduce consistently but at one point you might see the issue again.,-1
619,Still that does not guarantee that the first thread will run and only then the second one will check if the size > 0.,-1
653,Eclipse error: `Failed to create the Java Virtual Machine '.,-1
726,But unfortunately it can not be used!!!,-1
832,Maybe there are some problems with the path of the file ( on my pc )!?!?,-1
855,... but no such thing exists.,-1
892,"After entering the details, when the button is clicked, the entered data must be displayed as shown below, but I am not sure how to align it.",-1
940,But the file output messes with the chinese characters.,-1
964,Not related.,-1
965,Not even sure what JSR that is.,-1
994,I had the same issue using a remote postgres instance.,-1
1027,I would avoid to generate the full XML String ( see @AdriaanKoster 'response ).,-1
1079,"I wanted to see all the files I have in my external storage, I have this library that display the text to the user, but when I'm using it to show the sub files, it says something like.",-1
1152,"A workaround might be to use reflection, however this isn't a generally recommended approach for a number of reasons ( brittleness, performance problems, breaking encapsulation, etc ).",-1
1223,That can hide an error and keep you searching for dogs a whole week while the problem was really a cat ( ch ).,-1
1230,"AS I know, it's impossible in the case.",-1
1244,It is not advisable to avoid an exception with an empty catch block even though you are completely sure that is not going to fail under any circumstance.,-1
1255,"You are really asking too much of the Java runtime ( and Jackson library ), by trying to make them infer all the required information about the type to be instantiated ( based on the parameterized return ).",-1
1261,Server not starting in Eclipse Gallileo IDE with WAS7.,-1
1336,Your API_NAME is messed up and doesn't list dependencies properly.,-1
1388,Without that information you have to start the debugging process by guessing.,-1
1424,so I'm not happy with it.,-1
1455,"Connections, on the other hand, are expensive and need to be managed carefully by the application.",-1
1504,i try to return an output ( type date ) in a web service but i receive a weird result.,-1
1566,"My previous code example used CODE_FRAGMENT to fuse the filter and map operations, but this was cumbersome and provided no advantage.",-1
1613,At the moment I am receiving a ClassNotFoundException to API_NAME.,-1
1617,"I added it into my ANT_HOME / lib directory, but it didn't have any effect.",-1
1622,"It didn't make any difference, I receive the same error.",-1
1663,An SQL EXCEPTION is being caught saying API_NAME: [ Microsoft ] [ ODBC Driver Manager ] Data source name not found and no default driver specified ''.,-1
1763,"If you've created your File IO and pulled from it in a weird way, you can corrupt the encoding of the key material.",-1
1791,But the exception is occurring.,-1
1797,i'm having a difficult time figuring out to properly sort arraylists FILE_NAME though.,-1
1812,I don't have any code to show because I don't know where to start.,-1
1921,I am not able to find any documentation or info.,-1
2008,I tried to download API_NAME file but I am not getting the file on net.,-1
2009,I found API_NAME but that is for Ubuntu and not for Windows.,-1
2010,I find this error when I am trying to open this file.,-1
2022,There are many errors in this code.,-1
2026,Used wrong column names which does not exist in the table.,-1
2041,It's ugly and inefficient but it should work.,-1
2120,"Anyway, their current behavior does not allow what you want.",-1
2127,"It seems, that there must be some problem when genereting the response.",-1
2128,"I can successfully call my service but when generating the response, it seems to crash.",-1
2130,But as far as I create the entitymanager - which not necessary has anything to do with the response - it crashes... ( I still respond with just 200 ).,-1
2150,"The following warning messages should be ignored, they are `false-positive 'alert messages.",-1
2244,"Since this afternoon, it have started to give an error and the process ends, leaving to process thousands of files.",-1
2259,"Its a little complicated, there is a full example in this loadNativeLibrary ( ) method.",-1
2278,Here is an example I don't understand.,-1
