id,text
1,Jimmy this ready for review/commit? If so please 'submit'. Thanks.
2,I'm backporting this to 3.4 and 3.3 branches. --Michi
3,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The
4,Bug Flavio more? Seriously
5,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest
6,The patch no longer applies. Abmar
7,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/)
8,3.0.0 has been released
9,Edited these issues to set the fix version.
10,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java
11,Thanks for the patch
12,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform
13,That is my understanding. Looking at the dtd
14,No reply
15,Updated in 1.2 branch. David
16,As Wing Yew said
17,See comments above
18,Patch Applied. Good Work Adrian!
19,After re-compiling the applcation and re-deploying everything worked properly
20,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel
21,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0
22,Venu committed your patch. It's in Xerces 2.6.0. Please verify.
23,Venu committed your patch for Xerces 2.6.0. Please verify.
24,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration
25,This bug is 3 years old. Anybody looking to fix it?
26,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher
27,See bug 5694 for the DOMException problem.
28,Reporter took back the issue.
29,Hi George
30,As a work around
31,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!
32,patch in cvs. Could you please verify?
33,Verified
34,*** Bug 9236 has been marked as a duplicate of this bug. ***
35,*** Bug 8704 has been marked as a duplicate of this bug. ***
36,I tried using your testcase on Win95/IE4
37,I think you want the XMLBEANS project
38,checked in
39,Added 'onRowInserted' callback to TreeTable
40,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).
