ID,Polarity,Text
1,0,Jimmy this ready for review/commit? If so please 'submit'. Thanks.
2,0,I'm backporting this to 3.4 and 3.3 branches. --Michi
3,0,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The
4,-1,Bug Flavio more? Seriously
5,0,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest
6,0,The patch no longer applies. Abmar
7,0,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/)
8,0,3.0.0 has been released
9,0,Edited these issues to set the fix version.
10,0,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java
11,1,Thanks for the patch
12,0,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform
13,0,That is my understanding. Looking at the dtd
14,0,No reply
15,0,Updated in 1.2 branch. David
16,0,As Wing Yew said
17,0,See comments above
18,1,Patch Applied. Good Work Adrian!
19,1,After re-compiling the applcation and re-deploying everything worked properly
20,0,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel
21,0,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0
22,0,Venu committed your patch. It's in Xerces 2.6.0. Please verify.
23,0,Venu committed your patch for Xerces 2.6.0. Please verify.
24,0,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration
25,0,This bug is 3 years old. Anybody looking to fix it?
26,0,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher
27,0,See bug 5694 for the DOMException problem.
28,0,Reporter took back the issue.
29,1,Hi George
30,0,As a work around
31,1,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!
32,0,patch in cvs. Could you please verify?
33,1,Verified
34,0,*** Bug 9236 has been marked as a duplicate of this bug. ***
35,0,*** Bug 8704 has been marked as a duplicate of this bug. ***
36,0,I tried using your testcase on Win95/IE4
37,0,I think you want the XMLBEANS project
38,0,checked in
39,0,Added 'onRowInserted' callback to TreeTable
40,0,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).
41,0,closing this issue.
42,0,Xalan-Java appears to be operating correctly.
43,0,I checked that this bug was fixed in version 2.5.2.
44,0,First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second
45,0,This bug has been fixed in Xalan Java 2.5.2. Please verify.
46,0,Closing this issue. Please re-open if you have a testcase.
47,-1,I think with the latest code
48,-1,I wasn't able to reproduce the problem with the attachments. I saw appropriate error messages
49,0,Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>
50,0,Original reporter is not available. This report has now 'timed out'.
51,0,*** This bug has been marked as a duplicate of 6155 ***
52,0,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html
53,0,AFAIK
54,-1,Unfortunatly
55,0,Very cool. Thank you.
56,-1,You are mixing runtimes. You must link _all_ executables with the same run- time library. For release
